# Sentinel-Sim Sensor Feed
# Format: HH:MM:SS, LATITUDE, LONGITUDE, TRACK_ID
12:00:01, 38.8977, -77.0365, DRONE-01
12:00:05, 38.8980, -77.0370, DRONE-01
12:00:10, 38.8990, -77.0385, DRONE-01
12:00:15, 38.9005, -77.0400, DRONE-01
12:00:20, 38.9020, -77.0420, DRONE-01
12:00:25, 38.9035, -77.0440, DRONE-01
12:00:30, 38.9050, -77.0460, DRONE-01
12:00:03, 36.8516, -76.2858, SHIP-01
12:00:08, 36.8520, -76.2865, SHIP-01
12:00:13, 36.8530, -76.2880, SHIP-01
12:00:18, 36.8545, -76.2900, SHIP-01
12:00:23, 36.8560, -76.2920, SHIP-01
